name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Aaron Figuera,1,M-O,82.4,83,150,100,170,420,8,281.57,March Open 2018,Sligo,2018,aaron figuera,10/03/2018,25,1455
Aaron Small,2,M-SR,104.6,105,212.5,130,240,582.5,1,348.54,IPF-NIPF All Irelands 2016,Belfast,2015,aaron small,26/11/2016,9,477
Abigail Cronin,3,F-JR,61.86,63,122.5,77.5,150,350,11,381.15,5th World Classic Championships 2017,Minsk,2017,abigail cronin,15/06/2017,2,976
Adam Bennett,4,M-O,102.8,105,180,115,235,530,6,319.14,November Open 2017,Dublin,2017,adam bennett,04/11/2017,16,1207
Adam Glennon,5,M-O,112.9,120,195,107.5,190,492.5,1,287.62,September Open 2017,Dublin,2017,adam glennon,02/09/2017,22,1074
Adam Keane,6,M-O,83,83,255.5,132.5,275,663,1,442.55,National Championships 2017,Belfast,2017,adam keane,29/07/2017,14,992
Adam Loughnane,7,M-O,72.2,74,160,102.5,215,477.5,6,349.63,October Open 2017,Limerick,2017,adam loughnane,07/10/2017,18,1140
Adam Santorelli,8,M-O,82.6,83,195,163,230,588,6,393.62,National Championships 2017,Belfast,2017,adam santorelli,29/07/2017,14,1007
Adrian Mullins,9,M-O,79.6,83,117.5,87.5,190,395,8,270.52,May Open 2017,,2017,adrian mullins,27/05/2017,11,910
Aeilish McGovern,10,F-O,56.2,57,112.5,60,145,317.5,5,372.53,Nationals 2018,Dublin,2018,aeilish mcgovern,10/02/2018,15,1410
Aibhlin Clabby,11,F-U18-C,55.6,57,80,50,90,220,2,260.31,Open Championships,Dublin,2015,aibhlin clabby,08/08/2015,19,78
Ailbhe O'Daly,12,F-O,71.8,72,,62.5,137.5,,DQ,,March Open 2018,Sligo,2018,ailbhe o'daly,10/03/2018,24,1433
Ailish Marlow,13,F-Sen-C,96.4,84+,115,52.5,140,307.5,1,258.97,Novice Open 2016,,2016,ailish marlow,23/01/2016,17,134
Aindriu Jenkinson,14,M-O,81.6,83,170,90,217.5,477.5,5,322.01,March Open 2018,Sligo,2018,aindriu jenkinson,10/03/2018,25,1452
Aine McCarthy,15,F-O,71.2,72,25,35,70,130,2,127.84,University Championships 2017,Cork,2017,aine mccarthy,25/03/2017,23,829
Ainul Fatihah Mohd Sharir,16,F-O,50.2,52,82.5,52.5,125,260,3,333,Nationals 2018,Dublin,2018,ainul fatihah mohd sharir,10/02/2018,15,1417
Aisling Fahy,17,F-O,101.7,84+,100,60,135,295,4,244.44,May Open 2017,,2017,aisling fahy,27/05/2017,11,926
Aisling Judge,18,F-O,76,84,135,75,180,390,1,367.72,March Open 2018,Sligo,2018,aisling judge,10/03/2018,25,1434
Aisling Kelly,19,F-U23-C,71.2,72,62.5,42.5,82.5,187.5,3,184.38,Novice Open 2016,,2016,aisling kelly,23/01/2016,17,161
Aisling McManus,20,F-O,46.8,47,90,47.5,95,232.5,2,313.65,Nationals 2018,Dublin,2018,aisling mcmanus,10/02/2018,15,1418
Aisling Stapleton,21,F-O,60.4,63,112.5,62.5,125,300,3,332.75,October Open 2017,Limerick,2017,aisling stapleton,07/10/2017,18,1167
Alan Byrne,22,M-O,71.4,74,115,75,145,335,4,247.32,RevFit Open,Dublin,2016,alan byrne,08/10/2016,21,407
Alan Flanagan,23,M-O,82.8,83,182.5,127.5,247.5,557.5,3,372.66,May Open 2017,,2017,alan flanagan,27/05/2017,11,888
Alan O'Doherty,24,M-O,72.6,74,130,82.5,185,397.5,7,289.88,University Championships 2017,Cork,2017,alan o'doherty,25/03/2017,23,809
Alex Cremins,25,M-O,66,66,155,100,205,460,4,361.19,Nationals 2018,Dublin,2018,alex cremins,10/02/2018,15,1376
Alex Cristea,26,M-O,79.4,83,155,0,160,0,DQ,0,November Open 2017,Dublin,2017,alex cristea,04/11/2017,16,1277
Alexander Wilson-Flynn,27,M-O,92.9,93,205,115,195,515,2,323.68,September Open 2017,Dublin,2017,alexander wilson-flynn,02/09/2017,22,1072
Alexandra Kapka,28,F-O,70.6,72,120,67.5,150,337.5,8,333.8,National Championships 2017,Belfast,2017,alexandra kapka,29/07/2017,14,1046
Alexandru Plamadeala,29,M-O,83,83,190,112.5,205,507.5,1,338.76,Leinster Open 2017,Dublin,2017,alexandru plamadeala,21/01/2017,10,533
Alison May,30,F-Sen-C,55.6,57,75,42.5,80,197.5,5,233.69,Boyneside Regional Championships,Drogheda,2016,alison may,19/06/2016,5,289
Alison O'Reilly,31,F-O,78.6,84,140,82.5,157.5,380,3,351.2,Nationals 2018,Dublin,2018,alison o'reilly,10/02/2018,15,1390
Amaal Zaki,32,F-O,63,63,100,50,127.5,277.5,7,298.02,Munster Open 2017,Limerick,2017,amaal zaki,04/02/2017,12,676
