comp,location,year,date,compId
1st University Powerlifting World Cup 2016,Minsk,2016,11/07/2016,1
5th World Classic Championships 2017,Minsk,2017,15/06/2017,2
ABS Club Championship 2016,Dublin,2016,02/04/2017,3
Athlone Open,Athlone,2016,03/09/2016,4
Boyneside Regional Championships,Drogheda,2016,19/06/2016,5
December Last Chance Open 2017,Limerick,2017,10/12/2017,6
European Classic Championships 2017,Thisted,2017,12/03/2017,7
Inaugural Comp,Belfast,2015,30/05/2015,8
IPF-NIPF All Irelands 2016,Belfast,2015,26/11/2016,9
Leinster Open 2017,Dublin,2017,21/01/2017,10
May Open 2017,Limerick,2017,27/05/2017,11
Munster Open 2017,Limerick,2017,04/02/2017,12
National Championships 2016,Limerick,2016,27/02/2016,13
National Championships 2017,Belfast,2017,29/07/2017,14
Nationals 2018,Dublin,2018,10/02/2018,15
November Open 2017,Dublin,2017,04/11/2017,16
Novice Open 2016,,2016,23/01/2016,17
October Open 2017,Limerick,2017,07/10/2017,18
Open Championships,Dublin,2015,08/08/2015,19
RevFit Bench and Deadlift,Dublin,2016,09/10/2016,20
RevFit Open,Dublin,2016,08/10/2016,21
September Open 2017,Dublin,2017,02/09/2017,22
University Championships 2017,Cork,2017,25/03/2017,23
March Open 2018,Sligo,2018,10/03/2018,24
