name,id,class,bodyweight,weight_class,squat,bench,deadlift,total,place,wilks,comp,location,year,nameLower,date,compId,resultId
Barry Pigott,66,M-Sen-C,90.7,93,260,200,285,745,1,473.75,Inaugural Comp,Belfast,2015,barry pigott,30/05/2015,7,0
Sean Crowe,580,M-Sen-C,118.8,120,225,137.5,305,667.5,1,384.67,Inaugural Comp,Belfast,2015,sean crowe,30/05/2015,7,1
Arthur Lynch,60,M-U23-C,91.1,93,225,160,280,665,1,421.95,Inaugural Comp,Belfast,2015,arthur lynch,30/05/2015,7,2
James Hanley,317,M-Sen-C,97,105,240,155,262.5,657.5,1,405.24,Inaugural Comp,Belfast,2015,james hanley,30/05/2015,7,3
Conor Meyler,153,M-U23-C,111.8,120,222.5,135,245,602.5,1,352.85,Inaugural Comp,Belfast,2015,conor meyler,30/05/2015,7,4
Adam Keane,6,M-U23-C,75.9,83,222.5,102.5,255,580,1,409.9,Inaugural Comp,Belfast,2015,adam keane,30/05/2015,7,5
Nathanial Stewart,486,M-U23-C,104.3,105,210,100,270,580,1,347.4,Inaugural Comp,Belfast,2015,nathanial stewart,30/05/2015,7,6
Michael Bruce,464,M-Sen-C,99.4,105,200,130,242.5,572.5,2,349.26,Inaugural Comp,Belfast,2015,michael bruce,30/05/2015,7,7
Rob Burke,543,M-Sen-C,142.5,120+,205,125,240,570,1,317.69,Inaugural Comp,Belfast,2015,rob burke,30/05/2015,7,8
Andrew Wilson,50,M-Sen-C,88.9,93,180,125,235,540,2,346.92,Inaugural Comp,Belfast,2015,andrew wilson,30/05/2015,7,9
Daniel Mcalpaca,167,M-U23-C,91.3,93,175,105,250,530,2,335.93,Inaugural Comp,Belfast,2015,daniel mcalpaca,30/05/2015,7,10
Dan Hurley,165,M-Sen-C,81.5,83,187.5,115,225,527.5,1,355.99,Inaugural Comp,Belfast,2015,dan hurley,30/05/2015,7,11
Peter Lawrence,526,M-U23-C,91.3,93,160,120,210,490,3,310.57,Inaugural Comp,Belfast,2015,peter lawrence,30/05/2015,7,12
Daniel McAuley,168,M-U23-C,71.7,74,160,107.5,185,452.5,1,333.03,Inaugural Comp,Belfast,2015,daniel mcauley,30/05/2015,7,13
Noel Whelan,498,M-Sen-C,59.4,66,162.5,95,182.5,440,1,378.74,Inaugural Comp,Belfast,2015,noel whelan,30/05/2015,7,14
Jamie Sullivan,325,M-U23-C,79.1,83,150,107.5,160,417.5,2,287.09,Inaugural Comp,Belfast,2015,jamie sullivan,30/05/2015,7,15
Nicole Fraser,495,F-Sen-C,68.4,72,150,80,160,390,1,394.31,Inaugural Comp,Belfast,2015,nicole fraser,30/05/2015,7,16
Lauren Rooney,402,F-Sen-C,83.6,84,137.5,67.5,162.5,367.5,1,328.5,Inaugural Comp,Belfast,2015,lauren rooney,30/05/2015,7,17
Jack Caldwell,303,M-U18-C,65,66,130,75,150,355,1,282.3,Inaugural Comp,Belfast,2015,jack caldwell,30/05/2015,7,18
Bronagh McPeake,80,F-U23-C,62.8,63,125,50,140,315,1,339.11,Inaugural Comp,Belfast,2015,bronagh mcpeake,30/05/2015,7,19
Linh Nguyen,416,F-Sen-C,61.9,63,125,57.5,130,312.5,1,340.14,Inaugural Comp,Belfast,2015,linh nguyen,30/05/2015,7,20
Hazel Hu,288,F-Sen-C,49.9,52,112.5,60,130,302.5,1,389.19,Inaugural Comp,Belfast,2015,hazel hu,30/05/2015,7,21
Kathleen Scully,376,F-Sen-C,76,84,105,52.5,122.5,280,2,264,Inaugural Comp,Belfast,2015,kathleen scully,30/05/2015,7,22
Kiera Hillary,388,F-Sen-C,51.1,52,95,45,130,270,2,341.15,Inaugural Comp,Belfast,2015,kiera hillary,30/05/2015,7,23
Bernice Flynn,73,F-Sen-C,66.1,72,75,57.5,115,247.5,2,256.47,Inaugural Comp,Belfast,2015,bernice flynn,30/05/2015,7,24
Claire McConnell,126,F-Sen-C,54.6,57,70,42.5,82.5,195,1,234.03,Inaugural Comp,Belfast,2015,claire mcconnell,30/05/2015,7,25
Jodie McLoughlin,347,F-Sen-C,55.5,57,0,52.5,100,0,DQ,0,Inaugural Comp,Belfast,2015,jodie mcloughlin,30/05/2015,7,27
Medb Murtagh,461,F-U23-C,51.1,52,0,57.5,130,0,DQ,0,Inaugural Comp,Belfast,2015,medb murtagh,30/05/2015,7,26
Jacek Stanek,299,M-Sen-C,141.5,120+,325,207.5,317.5,850,1,474.24,Open Championships,Dublin,2015,jacek stanek,08/08/2015,18,28
Pawel Stachurski,521,M-Sen-C,113.2,120,230,192.5,280,702.5,1,409.95,Open Championships,Dublin,2015,pawel stachurski,08/08/2015,18,29
Cillian Hurley,121,M-Sen-C,98.6,105,245,150,285,680,1,416.22,Open Championships,Dublin,2015,cillian hurley,08/08/2015,18,30
Mark Murphy,449,M-Sen-C,104.6,105,237.5,182.5,240,660,2,394.92,Open Championships,Dublin,2015,mark murphy,08/08/2015,18,31
Sean Ryan,589,M-Sen-C,82.2,83,232.5,145,260,637.5,1,428,Open Championships,Dublin,2015,sean ryan,08/08/2015,18,32
